# gunzip -c exp/tri2_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Apr 29 15:20:49 AEST 2019
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.4,39) frames.
Overall, ow accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,21) frames.
Overall, sh accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.7,20) frames.
Overall, ng accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, g accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,9) frames.
Overall, y accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, jh accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,13) frames.
Overall, el accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,18) frames.
Overall, epi accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,7) frames.
Overall, ch accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,16) frames.
Overall, th accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, aw accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.2,25) frames.
The optional-silence phone sil occupies 11.6% of frames overall 
Limiting the stats to the 89.5% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.3% of frames.
Assuming 100 frames per second, the alignments represent 1.1 hours of data, or 0.9 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.6% of utterance-internal phones, with duration (median, mean, 95-percentile) = (11,15.0,41)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Apr 29 15:20:49 AEST 2019, elapsed time 0 seconds
