# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Apr 29 15:18:57 AEST 2019
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,16.4,39) frames.
Overall, uw accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,19) frames.
Overall, v accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, ay accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.5,25) frames.
Overall, dx accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,6) frames.
Overall, ao accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,22) frames.
Overall, hh accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, ow accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,21) frames.
Overall, sh accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,20) frames.
Overall, ng accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, g accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,8) frames.
Overall, y accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, jh accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,12) frames.
Overall, el accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,17) frames.
Overall, epi accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,7) frames.
Overall, ch accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,15) frames.
Overall, th accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,17) frames.
Overall, aw accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.7,25) frames.
The optional-silence phone sil occupies 13.2% of frames overall 
Limiting the stats to the 88.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.5% of frames.
Assuming 100 frames per second, the alignments represent 1.1 hours of data, or 0.9 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.6% of utterance-internal phones, with duration (median, mean, 95-percentile) = (13,17.8,44)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Apr 29 15:18:57 AEST 2019, elapsed time 0 seconds
